NM_001010975.1	Ant	ADP/ATP translocase
NR_034286.1	Mir14	microRNA 14
NR_034287.1	Mir2-3	microRNA 2-3
NR_034288.1	Mir275	microRNA 275
NR_034289.1	Mir279a	microRNA 279a
NR_034290.1	Mir283	microRNA 283
NR_034291.1	Mir29b	microRNA 29b
NR_034292.1	Mir31a	microRNA 31a
NR_034293.1	Mir33	microRNA 33
NR_034294.1	Mir34	microRNA 34
NR_034295.1	Mir375	microRNA 375
NR_034296.1	Mir71	microRNA 71
NR_034297.1	Mir79	microRNA 79
NR_034298.1	Mir87-1	microRNA 87-1
NR_034299.1	Mir87-2	microRNA 87-2
NR_034300.1	Mir92a	microRNA 92a
NR_034301.1	Mir927a	microRNA 927a
NR_034302.1	Mir928	microRNA 928
NR_034303.1	Mir190	microRNA 190
NR_034304.1	Mir929	microRNA 929
NR_034305.1	Mir932	microRNA 932
NR_034306.1	Mir252a	microRNA 252a
NR_034307.1	Mir13b	microRNA 13b
NR_034308.1	Mir996	microRNA 996
NR_034309.1	Mir263b	microRNA 263b
NR_034310.1	Mir92b-1	microRNA 92b-1
NR_034311.1	Mir92b-2	microRNA 92b-2
NR_034312.1	Mir985	microRNA 985
NR_034313.1	Mir1000	microRNA 1000
NR_034314.1	Mir1006	microRNA 1006
NR_034315.1	Mir981	microRNA 981
NR_034316.1	Mir316	microRNA 316
NR_034317.1	Mir993	microRNA 993
NR_034319.1	Mir1-2	microRNA 1-2
NR_039428.1	Mir11	microRNA 11
NR_039429.1	Mir1175	microRNA 1175
NR_039430.1	Mir193	microRNA 193
NR_039431.1	Mir307	microRNA 307
NR_039432.1	Mir2788	microRNA 2788
NR_039433.1	Mir989	microRNA 989
NR_039434.1	Mir3717	microRNA 3717
NR_039435.1	Mir3745	microRNA 3745
NR_039436.1	Mir3746	microRNA 3746
NR_039437.1	Mir3747a	microRNA 3747a
NR_039438.1	Mir3747b	microRNA 3747b
NR_039439.1	Mir3748	microRNA 3748
NR_039440.1	Mir3749	microRNA 3749
NR_039441.1	Mir3750	microRNA 3750
NR_039442.1	Mir3718a	microRNA 3718a
NR_039443.1	Mir3751	microRNA 3751
NR_039444.1	Mir3752	microRNA 3752
NR_039445.1	Mir3753	microRNA 3753
NR_039446.1	Mir3754	microRNA 3754
NR_039447.1	Mir3755	microRNA 3755
NR_039448.1	Mir3718b	microRNA 3718b
NR_039449.1	Mir3756	microRNA 3756
NR_039450.1	Mir3049	microRNA 3049
NR_039451.1	Mir3757	microRNA 3757
NR_039452.1	Mir3758	microRNA 3758
NR_039453.1	Mir3719	microRNA 3719
NR_039454.1	Mir3759	microRNA 3759
NR_039455.1	Mir3761	microRNA 3761
NR_039456.1	Mir3763	microRNA 3763
NR_039457.1	Mir3764	microRNA 3764
NR_039458.1	Mir3720	microRNA 3720
NR_039459.1	Mir3765	microRNA 3765
NR_039460.1	Mir3766	microRNA 3766
NR_039461.1	Mir3767	microRNA 3767
NR_039462.1	Mir3768	microRNA 3768
NR_039463.1	Mir3769	microRNA 3769
NR_039464.1	Mir971	microRNA 971
NR_039465.1	Mir3770	microRNA 3770
NR_039466.1	Mir3721	microRNA 3721
NR_039467.1	Mir3771	microRNA 3771
NR_039468.1	Mir3772	microRNA 3772
NR_039469.1	Mir3773	microRNA 3773
NR_039470.1	Mir3722	microRNA 3722
NR_039471.1	Mir3774	microRNA 3774
NR_039472.1	Mir3775	microRNA 3775
NR_039473.1	Mir3776	microRNA 3776
NR_039474.1	Mir3777	microRNA 3777
NR_039475.1	Mir3778	microRNA 3778
NR_039476.1	Mir3779	microRNA 3779
NR_039477.1	Mir965	microRNA 965
NR_039478.1	Mir3780	microRNA 3780
NR_039479.1	Mir3781	microRNA 3781
NR_039480.1	Mir3782	microRNA 3782
NR_039481.1	Mir3783	microRNA 3783
NR_039482.1	Mir3716b	microRNA 3716b
NR_039483.1	Mir3784	microRNA 3784
NR_039484.1	Mir3785	microRNA 3785
NR_039485.1	Mir3786	microRNA 3786
NR_039486.1	Mir3787	microRNA 3787
NR_039487.1	Mir3788	microRNA 3788
NR_039488.1	Mir3789	microRNA 3789
NR_039489.1	Mir3790	microRNA 3790
NR_039490.1	Mir3791	microRNA 3791
NR_039491.1	Mir279b	microRNA 279b
NR_039492.1	Mir9c	microRNA 9c
NR_039493.1	Mir2944	microRNA 2944
NR_039494.1	Mir318	microRNA 318
NR_039495.1	Mir3792	microRNA 3792
NR_039496.1	Mir927b	microRNA 927b
NR_039497.1	Mir3793	microRNA 3793
NR_039498.1	Mir3794	microRNA 3794
NR_039499.1	Mir306	microRNA 306
NR_039500.1	Mir3795	microRNA 3795
NR_039501.1	Mir3796	microRNA 3796
NR_039502.1	Mir3797	microRNA 3797
NR_039503.1	Mir3477	microRNA 3477
NR_039504.1	Mir3798	microRNA 3798
NR_039505.1	Mir3799	microRNA 3799
NR_039506.1	Mir279c	microRNA 279c
NR_039507.1	Mir3800	microRNA 3800
NR_039508.1	Mir3801	microRNA 3801
NR_039509.1	Mir3723	microRNA 3723
NR_039510.1	Mir3724	microRNA 3724
NR_039511.1	Mir2796	microRNA 2796
NR_039512.1	Mir3725	microRNA 3725
NR_039513.1	Mir3726	microRNA 3726
NR_039514.1	Mir3727	microRNA 3727
NR_039515.1	Mir3728	microRNA 3728
NR_039516.1	Mir3729	microRNA 3729
NR_039517.1	Mir3715	microRNA 3715
NR_039518.1	Mir3730	microRNA 3730
NR_039519.1	Mir3731	microRNA 3731
NR_039520.1	Mir3732	microRNA 3732
NR_039521.1	Mir3716a	microRNA 3716a
NR_039522.1	Mir3733	microRNA 3733
NR_039523.1	Mir3734	microRNA 3734
NR_039524.1	Mir3735	microRNA 3735
NR_039525.1	Mir3736	microRNA 3736
NR_039526.1	Mir3737	microRNA 3737
NR_039527.1	Mir3738	microRNA 3738
NR_039528.1	Mir3739	microRNA 3739
NR_039529.1	Mir3740	microRNA 3740
NR_039530.1	Mir3741	microRNA 3741
NR_039531.1	Mir3742	microRNA 3742
NR_039532.1	Mir3743	microRNA 3743
NR_039533.1	Mir3744	microRNA 3744
NR_039534.1	Mir980	microRNA 980
NR_039535.1	Mir750	microRNA 750
NR_048934.1	Mir3762	microRNA 3762
NR_127302.1	Mir6000a	microRNA 6000a
NR_127303.1	Mir6001	microRNA 6001
NR_127304.1	Mir6002	microRNA 6002
NR_127305.1	Mir6003	microRNA 6003
NR_127306.1	Mir6004	microRNA 6004
NR_127307.1	Mir6005	microRNA 6005
NR_127308.1	Mir2765	microRNA 2765
NR_127309.1	Mir6006	microRNA 6006
NR_127310.1	Mir6037	microRNA 6037
NR_127311.1	Mir6038	microRNA 6038
NR_127312.1	Mir6039	microRNA 6039
NR_127313.1	Mir6040	microRNA 6040
NR_127314.1	Mir6000b	microRNA 6000b
NR_127315.1	Mir252b	microRNA 252b
NR_127316.1	Mir6042	microRNA 6042
NR_127317.1	Mir6043	microRNA 6043
NR_127318.1	Mir6044	microRNA 6044
NR_127319.1	Mir6045	microRNA 6045
NR_127320.1	Mir92c	microRNA 92c
NR_127321.1	Mir6046	microRNA 6046
NR_127322.1	Mir6012	microRNA 6012
NR_127323.1	Mir6047a	microRNA 6047a
NR_127324.1	Mir6048	microRNA 6048
NR_127325.1	Mir6049	microRNA 6049
NR_127326.1	Mir6050	microRNA 6050
NR_127327.1	Mir6051	microRNA 6051
NR_127328.1	Mir6053	microRNA 6053
NR_127329.1	Mir6054	microRNA 6054
NR_127330.1	Mir6055	microRNA 6055
NR_127331.1	Mir6056	microRNA 6056
NR_127332.1	Mir6057	microRNA 6057
NR_127333.1	Mir6058	microRNA 6058
NR_127334.1	Mir6059	microRNA 6059
NR_127335.1	Mir6060	microRNA 6060
NR_127336.1	Mir6061	microRNA 6061
NR_127337.1	Mir6063	microRNA 6063
NR_127338.1	Mir6047b	microRNA 6047b
NR_127339.1	Mir6064	microRNA 6064
NR_127340.1	Mir6065	microRNA 6065
NR_127341.1	Mir6066	microRNA 6066
NR_127342.1	Mir6067	microRNA 6067
NR_127343.1	Mir9864	microRNA 9864
NR_127344.1	Mir279d	microRNA 279d
NR_127345.1	Mir3718c	microRNA 3718c
NR_127346.1	Mir9865	microRNA 9865
NR_127347.1	Mir9866	microRNA 9866
NR_127348.1	Mir9867	microRNA 9867
NR_127349.1	Mir9868	microRNA 9868
NR_127350.1	Mir9869	microRNA 9869
NR_127351.1	Mir9870	microRNA 9870
NR_127352.1	Mir9871	microRNA 9871
NR_127353.1	Mir9872	microRNA 9872
NR_127354.1	Mir9873	microRNA 9873
NR_127355.1	Mir9874	microRNA 9874
NR_127356.1	Mir9875	microRNA 9875
NR_127357.1	Mir9876	microRNA 9876
NR_127358.1	Mir9877	microRNA 9877
NR_127359.1	Mir9878	microRNA 9878
NR_127360.1	Mir9879	microRNA 9879
NR_127361.1	Mir9880	microRNA 9880
NR_127362.1	Mir9881	microRNA 9881
NR_127363.1	Mir9882	microRNA 9882
NR_127364.1	Mir9883	microRNA 9883
NR_127365.1	Mir9884	microRNA 9884
NR_127366.1	Mir9885	microRNA 9885
NR_127367.1	Mir9886	microRNA 9886
NR_127368.1	Mir9887	microRNA 9887
NR_127369.1	Mir2b	microRNA 2b
NR_127370.1	Mir9888	microRNA 9888
NR_127371.1	Mir9889	microRNA 9889
NR_127372.1	Mir9892	microRNA 9892
NR_127373.1	Mir9893	microRNA 9893
NR_127374.1	Mir9894	microRNA 9894
NR_127375.1	Mir9895	microRNA 9895
NR_127376.1	Mir9896	microRNA 9896
NR_127377.1	Mir3478	microRNA 3478
NR_130405.1	Mir3760	microRNA 3760
NR_130406.1	Mir6041	microRNA 6041
NR_130407.1	Mir6052	microRNA 6052
NR_130408.1	Mir6062	microRNA 6062
NR_130409.1	Mir9890	microRNA 9890
NR_130410.1	Mir9891	microRNA 9891
XM_001119823.4	LOC724626	uncharacterized LOC724626
XM_001119824.4	LOC724756	uncharacterized LOC724756
XM_001119826.4	LOC724142	60S ribosomal protein L24
XM_001119829.4	LOC724113	uncharacterized LOC724113
XM_001119831.4	LOC724187	toll-like receptor 4
XM_001119832.4	LOC724275	uncharacterized LOC724275
XM_001119836.4	LOC724450	uncharacterized LOC724450
XM_001119842.4	LOC724114	uncharacterized LOC724114
XM_001119845.4	LOC724407	stress-associated endoplasmic reticulum protein 2
XM_001119847.4	LOC724115	phospholipase DDHD1-like
XM_001119855.4	LOC724123	translation initiation factor eIF-2B subunit delta
XM_001119858.4	LOC724126	uncharacterized LOC724126
XM_001119871.4	LOC724138	igLON family member 5-like
XM_001119873.3	LOC724140	D-tagatose-1,6-bisphosphate aldolase subunit GatY-like
XM_001119879.4	LOC724580	uncharacterized LOC724580
XM_001119882.4	LOC725033	uncharacterized LOC725033
XM_001119883.3	LOC724487	28 kDa heat- and acid-stable phosphoprotein-like
XM_001119884.4	LOC724274	protein lethal(2)essential for life-like
XM_001119885.4	LOC724188	protein transport protein Sec61 subunit beta
XM_001119891.4	LOC724794	multifunctional methyltransferase subunit TRM112-like protein
XM_001119895.4	LOC725314	translocon-associated protein subunit gamma-like
XM_001119896.4	LOC724677	probable malate dehydrogenase, mitochondrial
XM_001119897.4	LOC724326	peptidyl-prolyl cis-trans isomerase
XM_001119898.4	LOC724408	ras-related GTP-binding protein A
XM_001119899.4	LOC724678	histone H2A-like
XM_001119900.4	LOC724144	enhancer of rudimentary homolog
XM_001119904.3	LOC724148	homeobox protein MSX-2
XM_001119906.4	LOC724150	B-cell lymphoma/leukemia 11B
XM_001119907.4	LOC724151	programmed cell death protein 2
XM_001119908.4	LOC724152	uncharacterized LOC724152
XM_001119910.4	LOC724154	SHC SH2 domain-binding protein 1 homolog B
XM_001119912.4	LOC724156	transcription factor Sp8-like
XM_001119914.4	LOC724158	mitotic spindle assembly checkpoint protein MAD2B
XM_001119915.4	LOC724160	DNA ligase 1-like
XM_001119916.3	LOC724161	guanine nucleotide-binding protein-like 3 homolog
XM_001119919.3	LOC724164	39S ribosomal protein L30, mitochondrial
XM_001119921.4	LOC724166	intraflagellar transport protein 20 homolog
XM_001119928.4	LOC724175	probable cytochrome P450 304a1
XM_001119929.4	LOC724176	uncharacterized LOC724176
XM_001119931.4	LOC724178	uncharacterized LOC724178
XM_001119937.4	LOC724625	DNA-directed RNA polymerases I, II, and III subunit RPABC5
XM_001119944.4	LOC724365	ragulator complex protein LAMTOR4 homolog
XM_001119946.3	LOC724717	uncharacterized LOC724717
XM_001119951.4	LOC725076	CCHC-type zinc finger protein CG3800
XM_001119958.4	LOC724453	serine/threonine-protein kinase PAK 3
XM_001119959.4	LOC724901	bleomycin hydrolase
XM_001119960.4	LOC725315	uncharacterized LOC725315
XM_001119962.4	LOC724192	titin-like
XM_001119963.4	LOC724193	kinesin 8
XM_001119965.4	LOC724195	B-cell receptor CD22
XM_001119966.4	LOC724196	retinal homeobox protein Rx1
XM_001119967.4	LOC724197	uncharacterized LOC724197
XM_001119971.4	LOC724201	uncharacterized LOC724201
XM_001119973.3	LOC724203	ribosome biogenesis protein BRX1 homolog
XM_001119975.4	LOC724205	protein AF-9
XM_001119976.4	LOC724206	TBC1 domain family member 31
XM_001119981.4	LOC724211	cytochrome P450 9e2
XM_001119982.4	LOC724212	60 kDa SS-A/Ro ribonucleoprotein-like
XM_001119986.4	LOC724216	juvenile hormone acid O-methyltransferase
XM_001119992.4	LOC724223	hamartin
XM_001119993.4	LOC724225	sex peptide receptor-like
XM_001119995.4	LOC724227	synaptic vesicle glycoprotein 2B-like
XM_001119997.3	LOC724229	uncharacterized LOC724229
XM_001119998.4	LOC724486	probable N-acetyltransferase san
XM_001120000.4	LOC724791	vitamin K epoxide reductase complex subunit 1-like protein 1
XM_001120006.4	LOC724367	protein lethal(2)essential for life-like
XM_001120007.4	LOC725101	uncharacterized LOC725101
XM_001120009.4	LOC724489	ubiquitin-like protein 5
XM_001120011.4	LOC724532	eukaryotic translation initiation factor 1A, X-chromosomal
XM_001120012.4	LOC725102	protein dpy-30 homolog
XM_001120014.4	LOC724869	histone H2B-like
XM_001120016.4	LOC724451	FAD-linked sulfhydryl oxidase ALR
XM_001120018.2	LOC724493	50S ribosomal protein L1
XM_001120019.4	LOC724831	uncharacterized LOC724831
XM_001120020.4	LOC725573	uncharacterized LOC725573
XM_001120023.4	LOC724494	methionine-R-sulfoxide reductase B1
XM_001120025.4	LOC724873	ras-related protein Rab-7a
XM_001120029.4	LOC724236	chymotrypsin-like protease CTRL-1
XM_001120030.4	LOC724237	prostaglandin E2 receptor EP3 subtype
XM_001120032.4	LOC724239	kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like
XM_001120033.4	LOC724240	flap endonuclease GEN
XM_001120034.4	LOC724241	N-alpha-acetyltransferase 38-B, NatC auxiliary subunit
XM_001120035.4	LOC724242	protein neuralized
XM_001120037.4	LOC724244	structural maintenance of chromosomes protein 5
XM_001120039.2	LOC724246	growth/differentiation factor 2-like
XM_001120040.4	LOC724247	rRNA methyltransferase 3, mitochondrial
XM_001120043.4	LOC724250	venom protease
XM_001120045.4	LOC724252	homeotic protein deformed
XM_001120052.3	LOC724260	NAD kinase 2, mitochondrial-like
XM_001120054.4	LOC724262	peroxisome biogenesis factor 10
XM_001120056.4	LOC724264	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7-like
XM_001120059.4	LOC724267	ribosomal RNA-processing protein 7 homolog A
XM_001120061.4	LOC724269	connectin
XM_001120067.4	LOC724829	immediate early response 3-interacting protein 1
XM_001120069.4	LOC725184	gamma-aminobutyric acid receptor-associated protein
XM_001120073.4	LOC725144	uncharacterized LOC725144
XM_001120083.4	LOC724872	uncharacterized LOC724872
XM_001120086.4	LOC724280	UPF0545 protein C22orf39 homolog
XM_001120088.4	LOC724282	homeobox protein orthopedia
XM_001120089.4	LOC724283	Niemann-Pick C1 protein-like
XM_001120092.4	LOC724287	rhomboid-related protein 3-like
XM_001120093.3	LOC724288	gem-associated protein 5
XM_001120100.4	LOC724296	DNA mismatch repair protein Mlh1
XM_001120101.4	LOC724297	uncharacterized LOC724297
XM_001120105.3	LOC724301	paired mesoderm homeobox protein 2-like
XM_001120110.4	LOC724306	uncharacterized protein C15orf41 homolog
XM_001120111.4	LOC724307	short stature homeobox protein 2-like
XM_001120112.4	LOC724308	trypsin-1
XM_001120114.4	LOC724310	uncharacterized LOC724310
XM_001120116.4	LOC724312	vanin-like protein 1
XM_001120123.4	LOC724319	netrin-1-like
XM_001120132.4	LOC725272	histone H3
XM_001120134.4	LOC725565	nitric oxide synthase-interacting protein homolog
XM_001120137.4	LOC724449	protein lethal(2)essential for life-like
XM_001120140.4	LOC725038	protein NPC2 homolog
XM_001120141.4	LOC724676	ADP-ribosylation factor-like protein 1
XM_001120146.4	LOC725316	transmembrane protein 208
XM_001120148.4	LOC724327	C-factor
XM_001120149.4	LOC724328	arrestin domain-containing protein 3
XM_001120151.3	LOC724330	protein FAM45A-like
XM_001120153.4	LOC724332	rho guanine nucleotide exchange factor 3-like
XM_001120154.4	LOC724333	beta-1-syntrophin
XM_001120157.4	LOC724336	tRNA dimethylallyltransferase, mitochondrial-like
XM_001120159.4	LOC724338	OTU domain-containing protein 5-B
XM_001120160.4	LOC724339	phosphatidylinositol N-acetylglucosaminyltransferase subunit Q
XM_001120164.4	LOC724343	DNA-directed RNA polymerase III subunit RPC9-like
XM_001120165.4	LOC724344	probable Ras GTPase-activating protein
XM_001120173.3	LOC724352	zinc finger protein 593 homolog
XM_001120174.4	LOC724353	prion-like-(Q/N-rich) domain-bearing protein 25
XM_001120177.4	LOC724356	RING finger protein 17
XM_001120178.4	LOC724357	uncharacterized LOC724357
XM_001120182.4	LOC724361	GPI inositol-deacylase
XM_001120184.4	LOC724363	activator of basal transcription 1-like
XM_001120186.4	LOC725308	histone H2A-like
XM_001120188.3	LOC725142	U6 snRNA-associated Sm-like protein LSm2
XM_001120192.4	LOC725379	uncharacterized protein C3orf18 homolog
XM_001120193.3	LOC725232	uncharacterized LOC725232
XM_001120194.4	LOC724488	protein lethal(2)essential for life-like
XM_001120195.4	LOC725530	uncharacterized LOC725530
XM_001120196.4	LOC725036	U7 snRNA-associated Sm-like protein LSm11
XM_001120198.4	LOC725311	longitudinals lacking protein-like
XM_001120202.4	LOC726088	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
XM_001120208.4	LOC724373	homeobox protein Nkx-2.5-like
XM_001120210.4	LOC724375	ski oncogene
XM_001120213.4	LOC724378	BMP and activin membrane-bound inhibitor homolog
XM_001120215.4	LOC724380	protein phosphatase 1 regulatory subunit 21
XM_001120217.4	LOC724382	cuticular protein analogous to peritrophins 3-A
XM_001120220.4	LOC724386	epididymal secretory protein E1-like
XM_001120222.3	LOC724388	solute carrier family 35 member G1-like
XM_001120224.4	LOC724390	uncharacterized LOC724390
XM_001120227.4	LOC724393	uncharacterized LOC724393
XM_001120232.4	LOC724398	tweedle motif cuticular protein 2
XM_001120233.3	LOC724399	lethal(2)neighbour of Tid protein
XM_001120239.4	LOC726034	G patch domain and ankyrin repeat-containing protein 1 homolog
XM_001120242.4	LOC725310	synaptobrevin-1
XM_001120244.4	LOC725742	vacuolar ATPase assembly integral membrane protein VMA21 homolog
XM_001120245.4	LOC725143	probable U3 small nucleolar RNA-associated protein 11
XM_001120246.4	LOC726428	probable RNA-binding protein EIF1AD
XM_001120250.4	LOC725646	N-acetylneuraminate lyase-like
XM_001120253.4	LOC725416	U1 small nuclear ribonucleoprotein C
XM_001120262.4	LOC725851	actin, indirect flight muscle-like
XM_001120263.3	LOC725383	60S ribosomal protein L38
XM_001120264.4	LOC726058	FACT complex subunit Ssrp1
XM_001120266.4	LOC724410	uncharacterized LOC724410
XM_001120268.4	LOC724412	muscle segmentation homeobox
XM_001120274.4	LOC724418	venom acid phosphatase Acph-1-like
XM_001120276.4	LOC724420	transcription factor stalky-like
XM_001120278.4	LOC724422	homeobox protein Hox-B1a
XM_001120289.4	LOC724433	kell blood group glycoprotein homolog
XM_001120291.4	LOC724435	ribosomal RNA-processing protein 8
XM_001120292.4	LOC406124	gamma-aminobutyric acid receptor subunit beta
XM_001120293.4	LOC724436	phospholipase A2-like
XM_001120296.4	LOC724439	uncharacterized LOC724439
XM_001120297.4	LOC724440	calcium-transporting ATPase type 2C member 1
XM_001120306.4	LOC725099	spermidine synthase
XM_001120311.4	LOC725146	very-long-chain enoyl-CoA reductase
XM_001120319.4	LOC724457	uncharacterized LOC724457
XM_001120325.4	LOC724463	PI-PLC X domain-containing protein 3
XM_001120327.4	LOC724465	enhancer of split mbeta protein-like
XM_001120328.4	LOC724466	uncharacterized LOC724466
XM_001120329.4	LOC724467	iron-sulfur cluster assembly 2 homolog, mitochondrial-like
XM_001120336.4	LOC724474	la-related protein 7
XM_001120344.4	LOC724483	coiled-coil domain-containing protein 65-like
XM_001120346.4	LOC725450	histone H2A
XM_001120347.4	LOC725273	uncharacterized LOC725273
XM_001120350.4	LOC726408	zinc finger protein 706-like
XM_001120351.3	LOC725309	keratin-associated protein 19-2-like
XM_001120353.4	LOC725717	polycomb group RING finger protein 3
XM_001120355.4	LOC725678	actin-related protein 2/3 complex subunit 3
XM_001120359.4	LOC725186	chromatin modification-related protein MEAF6
XM_001120360.4	LOC726056	60S ribosomal protein L21
XM_001120363.4	LOC726196	ubiquitin-fold modifier 1
XM_001120364.4	LOC725884	60S acidic ribosomal protein P2
XM_001120371.3	LOC724499	mitochondrial pyruvate carrier 2-like
XM_001120377.4	LOC724505	PAB-dependent poly(A)-specific ribonuclease subunit PAN2
XM_001120381.4	LOC724507	RIB43A-like with coiled-coils protein 1
XM_001120383.4	LOC724510	neuropathy target esterase sws
XM_001120384.4	LOC724511	zinc finger protein 234-like
XM_001120386.4	LOC724513	zinc finger protein 816-like
XM_001120390.4	LOC724516	39S ribosomal protein L50, mitochondrial-like
XM_001120391.4	LOC724517	la-related protein 1B
XM_001120393.4	LOC724519	vacuolar protein sorting-associated protein 72 homolog
XM_001120395.4	LOC724521	uncharacterized LOC724521
XM_001120401.4	LOC724527	coiled-coil domain-containing protein 28A
XM_001120403.4	LOC724529	dynein light chain A
XM_001120404.4	LOC726221	transmembrane protein 14C
XM_001120409.4	LOC725811	E3 ubiquitin-protein ligase RNF181-like
XM_001120412.4	LOC725566	succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial
XM_001120413.4	LOC726009	malignant T-cell-amplified sequence 1 homolog
XM_001120416.4	LOC725719	DNA-directed RNA polymerase I subunit RPA2
XM_001120419.4	LOC725647	40S ribosomal protein S6
XM_001120425.4	LOC724536	uncharacterized LOC724536
